,close,open,time,date,date2,norm
111,0.68401,0.505297,"Dec 05, 2017",2017-12-05,12/05/17,0.213753125
112,0.497426,0.443465,"Dec 04, 2017",2017-12-04,12/04/17,0.15544562499999998
113,0.444544,0.368119,"Dec 03, 2017",2017-12-03,12/03/17,0.13892
114,0.367434,0.332752,"Dec 02, 2017",2017-12-02,12/02/17,0.11482312499999998
115,0.331534,0.254978,"Dec 01, 2017",2017-12-01,12/01/17,0.103604375
116,0.255799,0.231503,"Nov 30, 2017",2017-11-30,11/30/17,0.07993718749999999
117,0.229357,0.268597,"Nov 29, 2017",2017-11-29,11/29/17,0.0716740625
118,0.269134,0.245575,"Nov 28, 2017",2017-11-28,11/28/17,0.084104375
119,0.245728,0.244841,"Nov 27, 2017",2017-11-27,11/27/17,0.07679
120,0.245005,0.25623,"Nov 26, 2017",2017-11-26,11/26/17,0.0765640625
121,0.256218,0.256155,"Nov 25, 2017",2017-11-25,11/25/17,0.08006812499999999
122,0.258151,0.237601,"Nov 24, 2017",2017-11-24,11/24/17,0.0806721875
123,0.238242,0.261962,"Nov 23, 2017",2017-11-23,11/23/17,0.07445062499999999
124,0.262787,0.270566,"Nov 22, 2017",2017-11-22,11/22/17,0.08212093749999999
125,0.267959,0.266797,"Nov 21, 2017",2017-11-21,11/21/17,0.08373718749999999
126,0.26824,0.249106,"Nov 20, 2017",2017-11-20,11/20/17,0.08382499999999998
127,0.249098,0.264651,"Nov 19, 2017",2017-11-19,11/19/17,0.077843125
128,0.265129,0.260259,"Nov 18, 2017",2017-11-18,11/18/17,0.0828528125
129,0.257303,0.267459,"Nov 17, 2017",2017-11-17,11/17/17,0.08040718749999999
130,0.276348,0.266061,"Nov 16, 2017",2017-11-16,11/16/17,0.08635874999999998
131,0.264633,0.236665,"Nov 15, 2017",2017-11-15,11/15/17,0.0826978125
132,0.235506,0.222281,"Nov 14, 2017",2017-11-14,11/14/17,0.073595625
133,0.223694,0.207222,"Nov 13, 2017",2017-11-13,11/13/17,0.06990437499999999
134,0.206923,0.238693,"Nov 12, 2017",2017-11-12,11/12/17,0.06466343749999999
135,0.238159,0.240297,"Nov 11, 2017",2017-11-11,11/11/17,0.0744246875
136,0.240991,0.269915,"Nov 10, 2017",2017-11-10,11/10/17,0.0753096875
137,0.269108,0.259888,"Nov 09, 2017",2017-11-09,11/09/17,0.08409625
138,0.262915,0.243571,"Nov 08, 2017",2017-11-08,11/08/17,0.0821609375
139,0.243587,0.231099,"Nov 07, 2017",2017-11-07,11/07/17,0.0761209375
140,0.229622,0.209216,"Nov 06, 2017",2017-11-06,11/06/17,0.071756875
141,0.208844,0.218221,"Nov 05, 2017",2017-11-05,11/05/17,0.06526375
142,0.218003,0.200344,"Nov 04, 2017",2017-11-04,11/04/17,0.0681259375
143,0.199013,0.177322,"Nov 03, 2017",2017-11-03,11/03/17,0.0621915625
144,0.178321,0.185579,"Nov 02, 2017",2017-11-02,11/02/17,0.0557253125
145,0.184682,0.216551,"Nov 01, 2017",2017-11-01,11/01/17,0.057713125000000004
146,0.214774,0.216269,"Oct 31, 2017",2017-10-31,10/31/17,0.06711687499999999
147,0.21661,0.206256,"Oct 30, 2017",2017-10-30,10/30/17,0.06769062499999999
148,0.206581,0.191176,"Oct 29, 2017",2017-10-29,10/29/17,0.0645565625
149,0.191099,0.206617,"Oct 28, 2017",2017-10-28,10/28/17,0.05971843749999999
150,0.206411,0.218215,"Oct 27, 2017",2017-10-27,10/27/17,0.0645034375
151,0.217957,0.227778,"Oct 26, 2017",2017-10-26,10/26/17,0.0681115625
